Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
NDSU13	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU13_seqsero	NDSU13_assembly.fasta	2	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	2:g,p:-	Dublin	
NDSU15	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU15_seqsero	NDSU15_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU16	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU16_seqsero	NDSU16_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU17	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU17_seqsero	NDSU17_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU18	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU18_seqsero	NDSU18_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU19	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU19_seqsero	NDSU19_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU1	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU1_seqsero	NDSU1_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU20	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU20_seqsero	NDSU20_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU21	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU21_seqsero	NDSU21_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU22	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU22_seqsero	NDSU22_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU24	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU24_seqsero	NDSU24_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU25	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU25_seqsero	NDSU25_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU26	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU26_seqsero	NDSU26_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU28	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU28_seqsero	NDSU28_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU29	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU29_seqsero	NDSU29_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU2	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU2_seqsero	NDSU2_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU30	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU30_seqsero	NDSU30_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU3	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU3_seqsero	NDSU3_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU4	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU4_seqsero	NDSU4_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU5	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU5_seqsero	NDSU5_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU6	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU6_seqsero	NDSU6_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU7	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU7_seqsero	NDSU7_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU8	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU8_seqsero	NDSU8_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU9	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU9_seqsero	NDSU9_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
