"ABX"	"ABX_CLASS"	"variable"	"value"	"SIR"
"40"	"Rifampin"	"Rifampin"	"NDSU2"	1	"R"
"41"	"Ticarcillin"	"ß-lactam"	"NDSU2"	0	"I"
"42"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU2"	0	"I"
"43"	"Ampicillin"	"ß-lactam"	"NDSU3"	1	"R"
"44"	"Azithromycin"	"Macrolide"	"NDSU3"	1	"R"
"45"	"Ceftazidime"	"ß-lactam"	"NDSU3"	1	"R"
"46"	"Ceftiofur"	"ß-lactam"	"NDSU3"	1	"R"
"47"	"Chloramphenicol"	"Phenicol"	"NDSU3"	1	"R"
"48"	"Clarithromycin"	"Macrolide"	"NDSU3"	5	"No interpretation"
"49"	"Doxycycline"	"Tetracycline"	"NDSU3"	1	"R"
"50"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU3"	5	"No interpretation"
"51"	"Imipenem"	"ß-lactam"	"NDSU3"	-1	"S"
"52"	"Tetracycline"	"Tetracycline"	"NDSU3"	1	"R"
"53"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU3"	-1	"S"
"54"	"Amikacin"	"Aminoglycoside"	"NDSU3"	-1	"S"
"55"	"Cefazolin"	"ß-lactam"	"NDSU3"	1	"R"
"56"	"Clarithromycin"	"Macrolide"	"NDSU3"	1	"R"
"57"	"Erythromycin"	"Macrolide"	"NDSU3"	1	"R"
"58"	"Gentamicin"	"Aminoglycoside"	"NDSU3"	-1	"S"
"59"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU3"	1	"R"
"60"	"Penicillin"	"ß-lactam"	"NDSU3"	5	"No interpretation"
"61"	"Rifampin"	"Rifampin"	"NDSU3"	1	"R"
"62"	"Ticarcillin"	"ß-lactam"	"NDSU3"	1	"R"
"63"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU3"	1	"R"
"64"	"Ampicillin"	"ß-lactam"	"NDSU4"	1	"R"
"65"	"Azithromycin"	"Macrolide"	"NDSU4"	1	"R"
"66"	"Ceftazidime"	"ß-lactam"	"NDSU4"	1	"R"
"67"	"Ceftiofur"	"ß-lactam"	"NDSU4"	1	"R"
"68"	"Chloramphenicol"	"Phenicol"	"NDSU4"	1	"R"
"69"	"Clarithromycin"	"Macrolide"	"NDSU4"	5	"No interpretation"
"70"	"Doxycycline"	"Tetracycline"	"NDSU4"	1	"R"
"71"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU4"	5	"No interpretation"
"72"	"Imipenem"	"ß-lactam"	"NDSU4"	-1	"S"
"73"	"Tetracycline"	"Tetracycline"	"NDSU4"	1	"R"
"74"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU4"	-1	"S"
"75"	"Amikacin"	"Aminoglycoside"	"NDSU4"	-1	"S"
"76"	"Cefazolin"	"ß-lactam"	"NDSU4"	1	"R"
"77"	"Clarithromycin"	"Macrolide"	"NDSU4"	1	"R"
"78"	"Erythromycin"	"Macrolide"	"NDSU4"	1	"R"
"79"	"Gentamicin"	"Aminoglycoside"	"NDSU4"	-1	"S"
"80"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU4"	1	"R"
"81"	"Penicillin"	"ß-lactam"	"NDSU4"	5	"No interpretation"
"82"	"Rifampin"	"Rifampin"	"NDSU4"	1	"R"
"83"	"Ticarcillin"	"ß-lactam"	"NDSU4"	1	"R"
"84"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU4"	0	"I"
"85"	"Ampicillin"	"ß-lactam"	"NDSU5"	1	"R"
"86"	"Azithromycin"	"Macrolide"	"NDSU5"	-1	"S"
"87"	"Ceftazidime"	"ß-lactam"	"NDSU5"	-1	"S"
"88"	"Ceftiofur"	"ß-lactam"	"NDSU5"	0	"I"
"89"	"Chloramphenicol"	"Phenicol"	"NDSU5"	1	"R"
"90"	"Clarithromycin"	"Macrolide"	"NDSU5"	5	"No interpretation"
"91"	"Doxycycline"	"Tetracycline"	"NDSU5"	0	"I"
"92"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU5"	5	"No interpretation"
"93"	"Imipenem"	"ß-lactam"	"NDSU5"	-1	"S"
"94"	"Tetracycline"	"Tetracycline"	"NDSU5"	1	"R"
"95"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU5"	-1	"S"
"96"	"Amikacin"	"Aminoglycoside"	"NDSU5"	-1	"S"
"97"	"Cefazolin"	"ß-lactam"	"NDSU5"	1	"R"
"98"	"Clarithromycin"	"Macrolide"	"NDSU5"	1	"R"
"99"	"Erythromycin"	"Macrolide"	"NDSU5"	1	"R"
"100"	"Gentamicin"	"Aminoglycoside"	"NDSU5"	-1	"S"
"101"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU5"	1	"R"
"102"	"Penicillin"	"ß-lactam"	"NDSU5"	5	"No interpretation"
"103"	"Rifampin"	"Rifampin"	"NDSU5"	1	"R"
"104"	"Ticarcillin"	"ß-lactam"	"NDSU5"	-1	"S"
"105"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU5"	-1	"S"
"106"	"Ampicillin"	"ß-lactam"	"NDSU6"	1	"R"
"107"	"Azithromycin"	"Macrolide"	"NDSU6"	-1	"S"
"108"	"Ceftazidime"	"ß-lactam"	"NDSU6"	-1	"S"
"109"	"Ceftiofur"	"ß-lactam"	"NDSU6"	1	"R"
"110"	"Chloramphenicol"	"Phenicol"	"NDSU6"	1	"R"
"111"	"Clarithromycin"	"Macrolide"	"NDSU6"	5	"No interpretation"
"112"	"Doxycycline"	"Tetracycline"	"NDSU6"	0	"I"
"113"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU6"	5	"No interpretation"
"114"	"Imipenem"	"ß-lactam"	"NDSU6"	-1	"S"
"115"	"Tetracycline"	"Tetracycline"	"NDSU6"	1	"R"
"116"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU6"	-1	"S"
"117"	"Amikacin"	"Aminoglycoside"	"NDSU6"	-1	"S"
"118"	"Cefazolin"	"ß-lactam"	"NDSU6"	1	"R"
"119"	"Clarithromycin"	"Macrolide"	"NDSU6"	1	"R"
"120"	"Erythromycin"	"Macrolide"	"NDSU6"	1	"R"
"121"	"Gentamicin"	"Aminoglycoside"	"NDSU6"	-1	"S"
"122"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU6"	1	"R"
"123"	"Penicillin"	"ß-lactam"	"NDSU6"	5	"No interpretation"
"124"	"Rifampin"	"Rifampin"	"NDSU6"	1	"R"
"125"	"Ticarcillin"	"ß-lactam"	"NDSU6"	-1	"S"
"126"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU6"	-1	"S"
"127"	"Ampicillin"	"ß-lactam"	"NDSU7"	1	"R"
"128"	"Azithromycin"	"Macrolide"	"NDSU7"	1	"R"
"129"	"Ceftazidime"	"ß-lactam"	"NDSU7"	-1	"S"
"130"	"Ceftiofur"	"ß-lactam"	"NDSU7"	0	"I"
"131"	"Chloramphenicol"	"Phenicol"	"NDSU7"	1	"R"
"132"	"Clarithromycin"	"Macrolide"	"NDSU7"	5	"No interpretation"
"133"	"Doxycycline"	"Tetracycline"	"NDSU7"	0	"I"
"134"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU7"	5	"No interpretation"
"135"	"Imipenem"	"ß-lactam"	"NDSU7"	-1	"S"
"136"	"Tetracycline"	"Tetracycline"	"NDSU7"	1	"R"
"137"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU7"	-1	"S"
"138"	"Amikacin"	"Aminoglycoside"	"NDSU7"	-1	"S"
"139"	"Cefazolin"	"ß-lactam"	"NDSU7"	1	"R"
"140"	"Clarithromycin"	"Macrolide"	"NDSU7"	1	"R"
"141"	"Erythromycin"	"Macrolide"	"NDSU7"	1	"R"
"142"	"Gentamicin"	"Aminoglycoside"	"NDSU7"	-1	"S"
"143"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU7"	1	"R"
"144"	"Penicillin"	"ß-lactam"	"NDSU7"	5	"No interpretation"
"145"	"Rifampin"	"Rifampin"	"NDSU7"	1	"R"
"146"	"Ticarcillin"	"ß-lactam"	"NDSU7"	-1	"S"
"147"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU7"	-1	"S"
"148"	"Ampicillin"	"ß-lactam"	"NDSU8"	1	"R"
"149"	"Azithromycin"	"Macrolide"	"NDSU8"	-1	"S"
"150"	"Ceftazidime"	"ß-lactam"	"NDSU8"	1	"R"
"151"	"Ceftiofur"	"ß-lactam"	"NDSU8"	1	"R"
"152"	"Chloramphenicol"	"Phenicol"	"NDSU8"	1	"R"
"153"	"Clarithromycin"	"Macrolide"	"NDSU8"	5	"No interpretation"
"154"	"Doxycycline"	"Tetracycline"	"NDSU8"	0	"I"
"155"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU8"	5	"No interpretation"
"156"	"Imipenem"	"ß-lactam"	"NDSU8"	-1	"S"
"157"	"Tetracycline"	"Tetracycline"	"NDSU8"	1	"R"
"158"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU8"	-1	"S"
"159"	"Amikacin"	"Aminoglycoside"	"NDSU8"	-1	"S"
"160"	"Cefazolin"	"ß-lactam"	"NDSU8"	1	"R"
"161"	"Clarithromycin"	"Macrolide"	"NDSU8"	1	"R"
"162"	"Erythromycin"	"Macrolide"	"NDSU8"	1	"R"
"163"	"Gentamicin"	"Aminoglycoside"	"NDSU8"	-1	"S"
"164"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU8"	1	"R"
"165"	"Penicillin"	"ß-lactam"	"NDSU8"	5	"No interpretation"
"166"	"Rifampin"	"Rifampin"	"NDSU8"	1	"R"
"167"	"Ticarcillin"	"ß-lactam"	"NDSU8"	-1	"S"
"168"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU8"	-1	"S"
"169"	"Ampicillin"	"ß-lactam"	"NDSU9"	1	"R"
"170"	"Azithromycin"	"Macrolide"	"NDSU9"	-1	"S"
"171"	"Ceftazidime"	"ß-lactam"	"NDSU9"	1	"R"
"172"	"Ceftiofur"	"ß-lactam"	"NDSU9"	1	"R"
"173"	"Chloramphenicol"	"Phenicol"	"NDSU9"	1	"R"
"174"	"Clarithromycin"	"Macrolide"	"NDSU9"	5	"No interpretation"
"175"	"Doxycycline"	"Tetracycline"	"NDSU9"	1	"R"
"176"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU9"	5	"No interpretation"
"177"	"Imipenem"	"ß-lactam"	"NDSU9"	-1	"S"
"178"	"Tetracycline"	"Tetracycline"	"NDSU9"	1	"R"
"179"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU9"	-1	"S"
"180"	"Amikacin"	"Aminoglycoside"	"NDSU9"	-1	"S"
"181"	"Cefazolin"	"ß-lactam"	"NDSU9"	1	"R"
"182"	"Clarithromycin"	"Macrolide"	"NDSU9"	1	"R"
"183"	"Erythromycin"	"Macrolide"	"NDSU9"	1	"R"
"184"	"Gentamicin"	"Aminoglycoside"	"NDSU9"	-1	"S"
"185"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU9"	1	"R"
"186"	"Penicillin"	"ß-lactam"	"NDSU9"	5	"No interpretation"
"187"	"Rifampin"	"Rifampin"	"NDSU9"	1	"R"
"188"	"Ticarcillin"	"ß-lactam"	"NDSU9"	0	"I"
"189"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU9"	0	"I"
"190"	"Ampicillin"	"ß-lactam"	"NDSU10"	1	"R"
"191"	"Azithromycin"	"Macrolide"	"NDSU10"	-1	"S"
"192"	"Ceftazidime"	"ß-lactam"	"NDSU10"	1	"R"
"193"	"Ceftiofur"	"ß-lactam"	"NDSU10"	1	"R"
"194"	"Chloramphenicol"	"Phenicol"	"NDSU10"	1	"R"
"195"	"Clarithromycin"	"Macrolide"	"NDSU10"	5	"No interpretation"
"196"	"Doxycycline"	"Tetracycline"	"NDSU10"	1	"R"
"197"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU10"	5	"No interpretation"
"198"	"Imipenem"	"ß-lactam"	"NDSU10"	-1	"S"
"199"	"Tetracycline"	"Tetracycline"	"NDSU10"	1	"R"
"200"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU10"	-1	"S"
"201"	"Amikacin"	"Aminoglycoside"	"NDSU10"	-1	"S"
"202"	"Cefazolin"	"ß-lactam"	"NDSU10"	1	"R"
"203"	"Clarithromycin"	"Macrolide"	"NDSU10"	1	"R"
"204"	"Erythromycin"	"Macrolide"	"NDSU10"	1	"R"
"205"	"Gentamicin"	"Aminoglycoside"	"NDSU10"	-1	"S"
"206"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU10"	1	"R"
"207"	"Penicillin"	"ß-lactam"	"NDSU10"	5	"No interpretation"
"208"	"Rifampin"	"Rifampin"	"NDSU10"	1	"R"
"209"	"Ticarcillin"	"ß-lactam"	"NDSU10"	0	"I"
"210"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU10"	0	"I"
"211"	"Ampicillin"	"ß-lactam"	"NDSU12"	-1	"S"
"212"	"Azithromycin"	"Macrolide"	"NDSU12"	-1	"S"
"213"	"Ceftazidime"	"ß-lactam"	"NDSU12"	-1	"S"
"214"	"Ceftiofur"	"ß-lactam"	"NDSU12"	-1	"S"
"215"	"Chloramphenicol"	"Phenicol"	"NDSU12"	1	"R"
"216"	"Clarithromycin"	"Macrolide"	"NDSU12"	5	"No interpretation"
"217"	"Doxycycline"	"Tetracycline"	"NDSU12"	1	"R"
"218"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU12"	5	"No interpretation"
"219"	"Imipenem"	"ß-lactam"	"NDSU12"	-1	"S"
"220"	"Tetracycline"	"Tetracycline"	"NDSU12"	1	"R"
"221"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU12"	-1	"S"
"222"	"Amikacin"	"Aminoglycoside"	"NDSU12"	-1	"S"
"223"	"Cefazolin"	"ß-lactam"	"NDSU12"	-1	"S"
"224"	"Clarithromycin"	"Macrolide"	"NDSU12"	1	"R"
"225"	"Erythromycin"	"Macrolide"	"NDSU12"	1	"R"
"226"	"Gentamicin"	"Aminoglycoside"	"NDSU12"	-1	"S"
"227"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU12"	1	"R"
"228"	"Penicillin"	"ß-lactam"	"NDSU12"	5	"No interpretation"
"229"	"Rifampin"	"Rifampin"	"NDSU12"	1	"R"
"230"	"Ticarcillin"	"ß-lactam"	"NDSU12"	-1	"S"
"231"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU12"	-1	"S"
"232"	"Ampicillin"	"ß-lactam"	"NDSU13"	1	"R"
"233"	"Azithromycin"	"Macrolide"	"NDSU13"	-1	"S"
"234"	"Ceftazidime"	"ß-lactam"	"NDSU13"	1	"R"
"235"	"Ceftiofur"	"ß-lactam"	"NDSU13"	1	"R"
"236"	"Chloramphenicol"	"Phenicol"	"NDSU13"	1	"R"
"237"	"Clarithromycin"	"Macrolide"	"NDSU13"	5	"No interpretation"
"238"	"Doxycycline"	"Tetracycline"	"NDSU13"	1	"R"
"239"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU13"	5	"No interpretation"
"240"	"Imipenem"	"ß-lactam"	"NDSU13"	-1	"S"
"241"	"Tetracycline"	"Tetracycline"	"NDSU13"	1	"R"
"242"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU13"	-1	"S"
"243"	"Amikacin"	"Aminoglycoside"	"NDSU13"	-1	"S"
"244"	"Cefazolin"	"ß-lactam"	"NDSU13"	1	"R"
"245"	"Clarithromycin"	"Macrolide"	"NDSU13"	1	"R"
"246"	"Erythromycin"	"Macrolide"	"NDSU13"	1	"R"
"247"	"Gentamicin"	"Aminoglycoside"	"NDSU13"	-1	"S"
"248"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU13"	1	"R"
"249"	"Penicillin"	"ß-lactam"	"NDSU13"	5	"No interpretation"
"250"	"Rifampin"	"Rifampin"	"NDSU13"	1	"R"
"251"	"Ticarcillin"	"ß-lactam"	"NDSU13"	1	"R"
"252"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU13"	0	"I"
"253"	"Ampicillin"	"ß-lactam"	"NDSU15"	1	"R"
"254"	"Azithromycin"	"Macrolide"	"NDSU15"	1	"R"
"255"	"Ceftazidime"	"ß-lactam"	"NDSU15"	-1	"S"
"256"	"Ceftiofur"	"ß-lactam"	"NDSU15"	1	"R"
"257"	"Chloramphenicol"	"Phenicol"	"NDSU15"	1	"R"
"258"	"Clarithromycin"	"Macrolide"	"NDSU15"	5	"No interpretation"
"259"	"Doxycycline"	"Tetracycline"	"NDSU15"	0	"I"
"260"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU15"	5	"No interpretation"
"261"	"Imipenem"	"ß-lactam"	"NDSU15"	-1	"S"
"262"	"Tetracycline"	"Tetracycline"	"NDSU15"	1	"R"
"263"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU15"	-1	"S"
"264"	"Amikacin"	"Aminoglycoside"	"NDSU15"	-1	"S"
"265"	"Cefazolin"	"ß-lactam"	"NDSU15"	1	"R"
"266"	"Clarithromycin"	"Macrolide"	"NDSU15"	1	"R"
"267"	"Erythromycin"	"Macrolide"	"NDSU15"	1	"R"
"268"	"Gentamicin"	"Aminoglycoside"	"NDSU15"	-1	"S"
"269"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU15"	1	"R"
"270"	"Penicillin"	"ß-lactam"	"NDSU15"	5	"No interpretation"
"271"	"Rifampin"	"Rifampin"	"NDSU15"	1	"R"
"272"	"Ticarcillin"	"ß-lactam"	"NDSU15"	-1	"S"
"273"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU15"	-1	"S"
"274"	"Ampicillin"	"ß-lactam"	"NDSU16"	-1	"S"
"275"	"Azithromycin"	"Macrolide"	"NDSU16"	-1	"S"
"276"	"Ceftazidime"	"ß-lactam"	"NDSU16"	-1	"S"
"277"	"Ceftiofur"	"ß-lactam"	"NDSU16"	-1	"S"
"278"	"Chloramphenicol"	"Phenicol"	"NDSU16"	1	"R"
"279"	"Clarithromycin"	"Macrolide"	"NDSU16"	5	"No interpretation"
"280"	"Doxycycline"	"Tetracycline"	"NDSU16"	1	"R"
"281"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU16"	5	"No interpretation"
"282"	"Imipenem"	"ß-lactam"	"NDSU16"	-1	"S"
"283"	"Tetracycline"	"Tetracycline"	"NDSU16"	1	"R"
"284"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU16"	-1	"S"
"285"	"Amikacin"	"Aminoglycoside"	"NDSU16"	-1	"S"
"286"	"Cefazolin"	"ß-lactam"	"NDSU16"	-1	"S"
"287"	"Clarithromycin"	"Macrolide"	"NDSU16"	1	"R"
"288"	"Erythromycin"	"Macrolide"	"NDSU16"	1	"R"
"289"	"Gentamicin"	"Aminoglycoside"	"NDSU16"	-1	"S"
"290"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU16"	1	"R"
"291"	"Penicillin"	"ß-lactam"	"NDSU16"	5	"No interpretation"
"292"	"Rifampin"	"Rifampin"	"NDSU16"	1	"R"
"293"	"Ticarcillin"	"ß-lactam"	"NDSU16"	-1	"S"
"294"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU16"	-1	"S"
"295"	"Ampicillin"	"ß-lactam"	"NDSU17"	1	"R"
"296"	"Azithromycin"	"Macrolide"	"NDSU17"	-1	"S"
"297"	"Ceftazidime"	"ß-lactam"	"NDSU17"	1	"R"
"298"	"Ceftiofur"	"ß-lactam"	"NDSU17"	1	"R"
"299"	"Chloramphenicol"	"Phenicol"	"NDSU17"	-1	"S"
"300"	"Clarithromycin"	"Macrolide"	"NDSU17"	5	"No interpretation"
"301"	"Doxycycline"	"Tetracycline"	"NDSU17"	1	"R"
"302"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU17"	5	"No interpretation"
"303"	"Imipenem"	"ß-lactam"	"NDSU17"	-1	"S"
"304"	"Tetracycline"	"Tetracycline"	"NDSU17"	1	"R"
"305"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU17"	-1	"S"
"306"	"Amikacin"	"Aminoglycoside"	"NDSU17"	-1	"S"
"307"	"Cefazolin"	"ß-lactam"	"NDSU17"	1	"R"
"308"	"Clarithromycin"	"Macrolide"	"NDSU17"	1	"R"
"309"	"Erythromycin"	"Macrolide"	"NDSU17"	1	"R"
"310"	"Gentamicin"	"Aminoglycoside"	"NDSU17"	-1	"S"
"311"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU17"	1	"R"
"312"	"Penicillin"	"ß-lactam"	"NDSU17"	5	"No interpretation"
"313"	"Rifampin"	"Rifampin"	"NDSU17"	1	"R"
"314"	"Ticarcillin"	"ß-lactam"	"NDSU17"	0	"I"
"315"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU17"	0	"I"
"316"	"Ampicillin"	"ß-lactam"	"NDSU18"	1	"R"
"317"	"Azithromycin"	"Macrolide"	"NDSU18"	1	"R"
"318"	"Ceftazidime"	"ß-lactam"	"NDSU18"	1	"R"
"319"	"Ceftiofur"	"ß-lactam"	"NDSU18"	1	"R"
"320"	"Chloramphenicol"	"Phenicol"	"NDSU18"	1	"R"
"321"	"Clarithromycin"	"Macrolide"	"NDSU18"	5	"No interpretation"
"322"	"Doxycycline"	"Tetracycline"	"NDSU18"	1	"R"
"323"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU18"	5	"No interpretation"
"324"	"Imipenem"	"ß-lactam"	"NDSU18"	-1	"S"
"325"	"Tetracycline"	"Tetracycline"	"NDSU18"	1	"R"
"326"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU18"	-1	"S"
"327"	"Amikacin"	"Aminoglycoside"	"NDSU18"	-1	"S"
"328"	"Cefazolin"	"ß-lactam"	"NDSU18"	1	"R"
"329"	"Clarithromycin"	"Macrolide"	"NDSU18"	1	"R"
"330"	"Erythromycin"	"Macrolide"	"NDSU18"	1	"R"
"331"	"Gentamicin"	"Aminoglycoside"	"NDSU18"	-1	"S"
"332"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU18"	1	"R"
"333"	"Penicillin"	"ß-lactam"	"NDSU18"	5	"No interpretation"
"334"	"Rifampin"	"Rifampin"	"NDSU18"	1	"R"
"335"	"Ticarcillin"	"ß-lactam"	"NDSU18"	1	"R"
"336"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU18"	0	"I"
"337"	"Ampicillin"	"ß-lactam"	"NDSU19"	1	"R"
"338"	"Azithromycin"	"Macrolide"	"NDSU19"	1	"R"
"339"	"Ceftazidime"	"ß-lactam"	"NDSU19"	1	"R"
"340"	"Ceftiofur"	"ß-lactam"	"NDSU19"	1	"R"
"341"	"Chloramphenicol"	"Phenicol"	"NDSU19"	1	"R"
"342"	"Clarithromycin"	"Macrolide"	"NDSU19"	5	"No interpretation"
"343"	"Doxycycline"	"Tetracycline"	"NDSU19"	1	"R"
"344"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU19"	5	"No interpretation"
"345"	"Imipenem"	"ß-lactam"	"NDSU19"	-1	"S"
"346"	"Tetracycline"	"Tetracycline"	"NDSU19"	1	"R"
"347"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU19"	-1	"S"
"348"	"Amikacin"	"Aminoglycoside"	"NDSU19"	-1	"S"
"349"	"Cefazolin"	"ß-lactam"	"NDSU19"	1	"R"
"350"	"Clarithromycin"	"Macrolide"	"NDSU19"	1	"R"
"351"	"Erythromycin"	"Macrolide"	"NDSU19"	1	"R"
"352"	"Gentamicin"	"Aminoglycoside"	"NDSU19"	-1	"S"
"353"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU19"	1	"R"
"354"	"Penicillin"	"ß-lactam"	"NDSU19"	5	"No interpretation"
"355"	"Rifampin"	"Rifampin"	"NDSU19"	1	"R"
"356"	"Ticarcillin"	"ß-lactam"	"NDSU19"	0	"I"
"357"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU19"	0	"I"
"358"	"Ampicillin"	"ß-lactam"	"NDSU20"	1	"R"
"359"	"Azithromycin"	"Macrolide"	"NDSU20"	1	"R"
