#FILE	NUM_FOUND	CS54_island;1;Salmonella-enterica-Typhimurium-ATCC_14028;AF140550	SPI-12;1;Salmonella-enterica-Choleraesuis-SC_B67;NC_006905_P4	SPI-14;1;Salmonella-enterica-Gallinarum-SGA_8;AY956835	SPI-14;2;Salmonella-enterica-Gallinarum-SGC_8;AY956836	SPI-1;13;Salmonella-enterica-Typhimurium-SL1344;U16303	SPI-1;2;Salmonella-enterica-Typhi-CT18;NC_003198_P5	SPI-1;4;Salmonella-Typhimurium-LT2;NC_003197_P3	SPI-2;1;Salmonella-enterica-Choleraesuis-SC_B67;NC_006905_P3	SPI-3;7;Salmonella-enterica-Typhimurium-14028s;AJ000509	SPI-4;1;Salmonella-enterica-Typhimurium-LT2;AF060869	SPI-4;2;Salmonella-enterica-Choleraesuis-SC_B67;NC_006905_P7	SPI-5;1;Salmonella-enterica-Dublin-2229;AF060858	SPI-6;2;Salmonella-enterica-Enteritidis-;AF376036	SPI-9;1;Salmonella-Typhi-CT18;NC_003198_P4
ARS8_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	84.07	99.98	80.54
ARS9_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
NDSU10_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
NDSU12_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
NDSU13_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
NDSU15_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
NDSU16_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
NDSU17_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
NDSU18_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
NDSU19_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	95.26	99.95	.	99.97	99.98	80.54
NDSU1_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
NDSU20_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
NDSU21_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
NDSU22_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
NDSU24_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
NDSU25_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
NDSU26_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
NDSU28_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.29	99.98	80.54
NDSU29_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
NDSU2_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
NDSU30_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
NDSU3_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
NDSU4_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
NDSU5_assembly.fasta	11	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	.	.	99.97	99.98	80.54
NDSU6_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	83.66	100.00	99.95	.	99.97	99.98	80.54
NDSU7_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
NDSU8_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
NDSU9_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
